County Name,Water Body Name,Landmarks,Advisory Level,DetailStaticText,Advisory Detail Descr Display,Advisory Detail Descr,Advisory Level Description,Advisory Level,BloomInfo ID,Contact Org,County Name,Date Created,First Report,Landmarks,Rec Land Manager,RegionName,Report Updated On,Water Body Manager,Water Body Name,Latitude,Longitude
Alameda,Big Break Regional Shoreline,Boat launch,Caution,Detail,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.","Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3282,East Bay Regional Park District,Alameda,5/12/2022,1/6/2022,Boat launch,East Bay Regional Park District,Region 5 - Central Valley,10/19/2022,,Big Break Regional Shoreline,38.012339,-121.72854
Alameda,Dyer Reservoir,Outlet,None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3272,CA Department of Water Resources,Alameda,5/11/2022,4/25/2022,Outlet,,Region 5 - Central Valley,10/17/2022,California Department of Water Resources,Dyer Reservoir,37.755639,-121.67477
Alameda,Lake Chabot (Alameda Co),lake-wide,Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3281,East Bay Regional Park District,Alameda,5/12/2022,1/4/2022,lake-wide,East Bay Regional Park District,Region 2 - San Francisco Bay,10/18/2022,,Lake Chabot (Alameda Co),37.726948,-122.11221
Alameda,Lake Del Valle,,Last verified >90 days ago,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3113,East Bay Regional Park District,Alameda,1/7/2022,12/29/2021,,East Bay Regional Park District,Region 2 - San Francisco Bay,4/15/2022,Unknown,Lake Del Valle,37.586436,-121.70371
Alameda,Lake Del Valle,Lake Del Valle East Beach,Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3509,East Bay Regional Park District,Alameda,9/23/2022,6/27/2022,Lake Del Valle East Beach,,Region 2 - San Francisco Bay,10/18/2022,,Lake Del Valle,37.584681,-121.70048
Alameda,Lake Del Valle,Lake Del Valle West Beach,Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3508,East Bay Regional Park District,Alameda,9/23/2022,7/27/2022,Lake Del Valle West Beach,,Region 2 - San Francisco Bay,10/7/2022,,Lake Del Valle,37.577641,-121.6935
Alameda,Lake Merrit,Near Light Post 82 and Cleveland Cascade at Lake Shore Ave.,Last verified >90 days ago,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3280,Private Citzen,Alameda,9/16/2022,4/25/2022,Near Light Post 82 and Cleveland Cascade at Lake Shore Ave.,,Region 2 - San Francisco Bay,5/19/2022,Other,Lake Merrit,37.807143,-122.25014
Alameda,Lake Merritt,Lake Merritt Ampitheater,Last verified >30 days ago,Detail,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.; Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.","Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.; Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3726,R2,Alameda,9/16/2022,8/29/2022,Lake Merritt Ampitheater,City Department,Region 2 - San Francisco Bay,9/16/2022,City Department,Lake Merritt,37.79952,-122.26149
Alameda,Lake Merritt,Lake Merritt at beach south of Edoff Memorial Bandstand,Last verified >30 days ago,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3493,,Alameda,9/16/2022,6/20/2022,Lake Merritt at beach south of Edoff Memorial Bandstand,City Department,Region 2 - San Francisco Bay,8/30/2022,,Lake Merritt,37.80669,-122.2605
Alameda,Lake Merritt,Lake Merritt at Lakeshore Ave. near Boden Way,Last verified >30 days ago,Detail,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.; Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.","Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.; Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3494,CA Water Boards,Alameda,9/16/2022,6/20/2022,Lake Merritt at Lakeshore Ave. near Boden Way,City Department,Region 2 - San Francisco Bay,9/16/2022,,Lake Merritt,37.807125,-122.25015
Alameda,Lake Merritt,Lake Merritt Boating Center,Last verified >30 days ago,Detail,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.; Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.","Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.; Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3657,R2,Alameda,8/25/2022,8/24/2022,Lake Merritt Boating Center,,Region 2 - San Francisco Bay,9/16/2022,,Lake Merritt,37.80501,-122.25747
Alameda,Lake Merritt,Lake Merritt shoreline between 1200 and 1400 Lakeshore Avenue,Last verified >30 days ago,Detail,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.; Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to marinehab@oehha.ca.gov. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.","Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.; Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to marinehab@oehha.ca.gov. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3609,City of Oakland Public Works,Alameda,8/11/2022,8/5/2022,Lake Merritt shoreline between 1200 and 1400 Lakeshore Avenue,City Department,Region 2 - San Francisco Bay,8/8/2022,City Department,Lake Merritt,37.799679,-122.25843
Alameda,Lake Temescal,,Last verified >90 days ago,Detail,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3111,East Bay Regional Park District,Alameda,1/7/2022,12/27/2021,,East Bay Regional Park District,Region 2 - San Francisco Bay,4/15/2022,Unknown,Lake Temescal,37.846563,-122.23053
Alameda,Lake Temescal,East Bay Regional Parks,Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3290,East Bay Regional Park District,Alameda,5/12/2022,5/2/2022,East Bay Regional Parks,East Bay Regional Park District,Region 2 - San Francisco Bay,10/17/2022,East Bay Regional Park District,Lake Temescal,37.846563,-122.23053
Alameda,Quarry Lakes,,Last verified >90 days ago,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3112,East Bay Regional Park District,Alameda,1/7/2022,12/28/2021,,East Bay Regional Park District,Region 2 - San Francisco Bay,4/15/2022,Unknown,Quarry Lakes,37.573328,-122.00181
Alameda,Quarry Lakes,East Bay Regional Park,Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3287,East Bay Regional Park District,Alameda,5/12/2022,5/2/2022,East Bay Regional Park,East Bay Regional Park District,Region 2 - San Francisco Bay,10/18/2022,East Bay Regional Park District,Quarry Lakes,37.573328,-122.00181
