"station","parameter","time","value","unit","qaqc_flag_id"
"FRK","DissolvedOxygen",2022-09-01 00:00:00,11.98,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 00:15:00,11.83,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 00:30:00,11.61,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 00:45:00,11.46,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 01:00:00,11.3,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 01:15:00,11.24,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 01:30:00,11.18,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 01:45:00,11.08,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 02:00:00,11,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 02:15:00,10.95,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 02:30:00,10.91,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 02:45:00,10.85,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 03:00:00,10.77,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 03:15:00,10.58,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 03:30:00,10.69,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 03:45:00,10.64,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 04:00:00,10.72,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 04:15:00,10.83,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 04:30:00,11.01,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 04:45:00,11.07,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 05:00:00,11.06,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 05:15:00,11.04,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 05:30:00,10.99,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 05:45:00,10.95,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 06:00:00,10.92,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 06:15:00,10.88,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 06:30:00,10.84,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 06:45:00,10.8,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 07:00:00,10.76,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 07:15:00,10.76,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 07:30:00,10.77,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 07:45:00,10.79,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 08:00:00,10.81,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 08:15:00,10.86,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 08:30:00,10.98,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 08:45:00,11.01,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 09:00:00,11.21,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 09:15:00,11.58,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 09:30:00,11.62,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 09:45:00,11.84,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 10:00:00,11.87,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 10:15:00,11.83,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 10:30:00,11.93,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 10:45:00,12.1,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 11:00:00,12.26,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 11:15:00,12.37,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 11:30:00,12.46,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 11:45:00,12.59,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 12:00:00,12.68,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 12:15:00,12.84,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 12:30:00,13,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 12:45:00,13.29,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 13:00:00,13.54,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 13:15:00,13.88,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 13:30:00,14.19,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 13:45:00,14.78,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 14:00:00,14.77,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 14:15:00,15.11,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 14:30:00,14.71,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 14:45:00,14.87,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 15:00:00,14.56,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 15:15:00,14.32,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 15:30:00,14.28,"mg/L","G"
"FRK","DissolvedOxygen",2022-09-01 15:45:00,14.52,"mg/L","G"
