Time,B9512000,,B9512000,,B9512000,,B9512000,,B9512000,,B9512000,
and,450,,630,,810,,821,,865,,2351,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
1/1/2014 0:00,8.1,1,,,3.1,1,801,1,,,,
1/1/2014 0:15,8.1,1,,,3.2,1,799,1,,,,
1/1/2014 0:30,8.1,1,,,3.1,1,798,1,,,,
1/1/2014 0:45,8.1,1,,,2.9,1,798,1,,,,
1/1/2014 1:00,8.1,1,,,3,1,798,1,,,,
1/1/2014 1:15,8,1,,,3.1,1,798,1,,,,
1/1/2014 1:30,8,1,,,3.3,1,799,1,,,,
1/1/2014 1:45,8,1,,,3.1,1,801,1,,,,
1/1/2014 2:00,8,1,,,3.5,1,803,1,,,,
1/1/2014 2:15,8,1,,,4.4,1,812,1,,,,
1/1/2014 2:30,8,1,,,3.4,1,822,1,,,,
1/1/2014 2:45,8,1,,,4.1,1,821,1,,,,
1/1/2014 3:00,8,1,,,4.5,1,823,1,,,,
1/1/2014 3:15,8,1,,,4.7,1,829,1,,,,
1/1/2014 3:30,8,1,,,4.2,1,837,1,,,,
1/1/2014 3:45,8,1,,,5.1,1,846,1,,,,
1/1/2014 4:00,8,1,,,5,1,857,1,,,,
1/1/2014 4:15,8,1,,,4.6,1,865,1,,,,
1/1/2014 4:30,8,1,,,4.8,1,872,1,,,,
1/1/2014 4:45,8,1,,,4.3,1,883,1,,,,
1/1/2014 5:00,8,1,,,4.5,1,884,1,,,,
1/1/2014 5:15,7.9,1,,,4.1,1,892,1,,,,
1/1/2014 5:30,7.9,1,,,3.9,1,895,1,,,,
1/1/2014 5:45,7.9,1,,,4,1,900,1,,,,
1/1/2014 6:00,7.9,1,,,4.4,1,916,1,,,,
1/1/2014 6:15,7.9,1,,,4.5,1,903,1,,,,
1/1/2014 6:30,7.9,1,,,4.2,1,904,1,,,,
1/1/2014 6:45,7.9,1,,,5.1,1,897,1,,,,
1/1/2014 7:00,7.9,1,,,4.6,1,895,1,,,,
1/1/2014 7:15,7.9,1,,,3.9,1,876,1,,,,
1/1/2014 7:30,7.9,1,,,4,1,892,1,,,,
1/1/2014 7:45,7.9,1,,,3.9,1,868,1,,,,
1/1/2014 8:00,7.9,1,,,3.5,1,810,1,,,,
1/1/2014 8:15,7.9,1,,,3.4,1,819,1,,,,
1/1/2014 8:30,7.9,1,,,3.7,1,833,1,,,,
1/1/2014 8:45,7.9,1,,,3.6,1,839,1,,,,
1/1/2014 9:00,7.9,1,,,4.2,1,833,1,,,,
1/1/2014 9:15,7.9,1,,,3.9,1,825,1,,,,
1/1/2014 9:30,7.9,1,,,4.4,1,822,1,,,,
1/1/2014 9:45,7.9,1,,,4.5,1,822,1,,,,
1/1/2014 10:00,7.9,1,,,3.5,1,824,1,,,,
1/1/2014 10:15,8,1,,,4.4,1,836,1,,,,
1/1/2014 10:30,8,1,,,3.1,1,832,1,,,,
1/1/2014 10:45,8,1,,,3.8,1,823,1,,,,
1/1/2014 11:00,8,1,,,3.5,1,823,1,,,,
1/1/2014 11:15,8,1,,,3.4,1,820,1,,,,
1/1/2014 11:30,8.1,1,,,4,1,829,1,,,,
1/1/2014 11:45,8,1,,,3.5,1,819,1,,,,
1/1/2014 12:00,8.1,1,,,4,1,825,1,,,,
1/1/2014 12:15,8.1,1,,,4.3,1,837,1,,,,
1/1/2014 12:30,8.1,1,,,3.9,1,861,1,,,,
1/1/2014 12:45,8.1,1,,,4.4,1,860,1,,,,
1/1/2014 13:00,8.1,1,,,4.3,1,876,1,,,,
1/1/2014 13:15,8.1,1,,,4.6,1,889,1,,,,
1/1/2014 13:30,8.1,1,,,4.5,1,911,1,,,,
1/1/2014 13:45,8.2,1,,,5.2,1,929,1,,,,
1/1/2014 14:00,8.2,1,,,4.8,1,939,1,,,,
1/1/2014 14:15,8.2,1,,,4.7,1,956,1,,,,
1/1/2014 14:30,8.2,1,,,4.8,1,964,1,,,,
1/1/2014 14:45,8.2,1,,,5.1,1,973,1,,,,
1/1/2014 15:00,8.2,1,,,4.9,1,985,1,,,,
1/1/2014 15:15,8.2,1,,,4.8,1,995,1,,,,
1/1/2014 15:30,8.3,1,,,5.2,1,1000,1,,,,
1/1/2014 15:45,8.3,1,,,4.5,1,1010,1,,,,
1/1/2014 16:00,8.3,1,,,4.8,1,1020,1,,,,
1/1/2014 16:15,8.3,1,,,4.5,1,1030,1,,,,
1/1/2014 16:30,8.3,1,,,4.6,1,1040,1,,,,
1/1/2014 16:45,8.3,1,,,4.3,1,1040,1,,,,
1/1/2014 17:00,8.3,1,,,4.6,1,1050,1,,,,
1/1/2014 17:15,8.3,1,,,5,1,1040,1,,,,
1/1/2014 17:30,8.3,1,,,4.6,1,1040,1,,,,
1/1/2014 17:45,8.4,1,,,5.5,1,957,1,,,,
1/1/2014 18:00,8.3,1,,,4.9,1,988,1,,,,
1/1/2014 18:15,8.3,1,,,4.7,1,843,1,,,,
1/1/2014 18:30,8.3,1,,,4.9,1,844,1,,,,
1/1/2014 18:45,8.3,1,,,4.3,1,946,1,,,,
1/1/2014 19:00,8.3,1,,,4.7,1,914,1,,,,
1/1/2014 19:15,8.3,1,,,4.9,1,892,1,,,,
1/1/2014 19:30,8.3,1,,,4.3,1,886,1,,,,
1/1/2014 19:45,8.2,1,,,4,1,896,1,,,,
1/1/2014 20:00,8.2,1,,,4.4,1,899,1,,,,
1/1/2014 20:15,8.2,1,,,4.7,1,890,1,,,,
1/1/2014 20:30,8.2,1,,,3.9,1,879,1,,,,
1/1/2014 20:45,8.2,1,,,4.6,1,875,1,,,,
1/1/2014 21:00,8.2,1,,,3.9,1,861,1,,,,
1/1/2014 21:15,8.2,1,,,4,1,851,1,,,,
1/1/2014 21:30,8.1,1,,,3.4,1,844,1,,,,
1/1/2014 21:45,8.1,1,,,3,1,839,1,,,,
1/1/2014 22:00,8.1,1,,,3.7,1,837,1,,,,
1/1/2014 22:15,8.1,1,,,3.5,1,835,1,,,,
1/1/2014 22:30,8.1,1,,,3.7,1,834,1,,,,
1/1/2014 22:45,8.1,1,,,3.9,1,830,1,,,,
1/1/2014 23:00,8.1,1,,,3.4,1,825,1,,,,
1/1/2014 23:15,8.1,1,,,3.2,1,822,1,,,,
1/1/2014 23:30,8.1,1,,,3.3,1,818,1,,,,
1/1/2014 23:45,8.1,1,,,3.5,1,813,1,,,,
1/2/2014 0:00,8.1,1,,,3.5,1,809,1,,,,
1/2/2014 0:15,8.1,1,,,3.6,1,806,1,,,,
1/2/2014 0:30,8.1,1,,,3.6,1,803,1,,,,
1/2/2014 0:45,8.1,1,,,3.4,1,801,1,,,,
1/2/2014 1:00,8.1,1,,,2.8,1,799,1,,,,
1/2/2014 1:15,8.1,1,,,3.5,1,798,1,,,,
1/2/2014 1:30,8.1,1,,,3.6,1,797,1,,,,
1/2/2014 1:45,8.1,1,,,3.5,1,799,1,,,,
1/2/2014 2:00,8.1,1,,,3.4,1,798,1,,,,
1/2/2014 2:15,8.1,1,,,3.2,1,800,1,,,,
1/2/2014 2:30,8.1,1,,,3.6,1,802,1,,,,
1/2/2014 2:45,8.1,1,,,3.6,1,804,1,,,,
