OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,LatitudeMeasure,LongitudeMeasure
USGS-CA,USGS California Water Science Center,nwisca.01.02205281,Sample-Routine,Water,Surface Water,2022-08-25,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,Not Detected,Inorganic nitrogen (nitrate and nitrite),Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-09-22,NA,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-08-25T16:00:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204666,Sample-Routine,Water,Surface Water,2022-07-14,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),US DH-95 Teflon bottle,NA,Orthophosphate,Dissolved,0.019,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-08-18,holding time exceededsee result laboratory comment,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-07-14T16:00:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02205281,Sample-Routine,Water,Surface Water,2022-08-25,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-09-16,NA,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-08-25T16:00:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02205281,Sample-Routine,Water,Surface Water,2022-08-25,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.022,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-09-16,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-08-25T16:00:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204666,Sample-Routine,Water,Surface Water,2022-07-14,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),US DH-95 Teflon bottle,NA,Ammonia and ammonium,Dissolved,0.02,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-08-18,holding time exceededbelow the reporting level but at or above the detection levelsee result laboratory comment,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-07-14T16:00:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02205413,Sample-Routine,Water,Surface Water,2022-09-06,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 Teflon bottle,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-09-27,NA,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-09-06T16:30:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203442,Sample-Routine,Water,Surface Water,2022-05-05,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Ammonia and ammonium,Dissolved,0.04,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-05-10,NA,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-05-05T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204959,Sample-Routine,Water,Surface Water,2022-08-09,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),Grab sample,NA,Ammonia and ammonium,Dissolved,0.02,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-09-02,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-08-09T16:30:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204962,Sample-Routine,Water,Surface Water,2022-08-10,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.023,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-09-02,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-08-10T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202614,Quality Control Sample-Field Replicate,Water,Surface Water,2022-03-17,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US D-96 bag sampler,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.141,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-03-22,NA,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-03-17T16:30:00Z,NA,38.45601954000000,-121.5013437000000
